Actor;Entidad
Municipal;ANZOÁTEGUI - TOLIMA
Municipal;APARTADÓ - ANTIOQUIA
Municipal;APÍA - RISARALDA
Municipal;APULO - CUNDINAMARCA
Municipal;AQUITANIA - BOYACÁ
Municipal;ARACATACA - MAGDALENA
Municipal;ARANZAZU - CALDAS
Municipal;ARATOCA - SANTANDER
Municipal;ARAUCA - ARAUCA
Municipal;ARAUQUITA - ARAUCA
Municipal;ARBELÁEZ - CUNDINAMARCA
Municipal;ARBOLEDA - NARIÑO
Municipal;ARBOLEDAS - NORTE DE SANTANDER
Municipal;ARBOLETES - ANTIOQUIA
Municipal;ARCABUCO - BOYACÁ
Municipal;ARENAL - BOLÍVAR
Municipal;ARGELIA - ANTIOQUIA
Municipal;ARGELIA - CAUCA
Municipal;ARGELIA - VALLE DEL CAUCA
Municipal;ARIGUANÍ - MAGDALENA
Municipal;ARJONA - BOLÍVAR
Municipal;ARMENIA - ANTIOQUIA
Municipal;ARMENIA - QUINDIO
Municipal;ARMERO - TOLIMA
Municipal;ARROYOHONDO - BOLÍVAR
Municipal;ASTREA - CESAR
Municipal;ATACO - TOLIMA
Municipal;ATRATO - CHOCÓ
Municipal;AYAPEL - CÓRDOBA
Municipal;BAGADÓ - CHOCÓ
Municipal;BAHÍA SOLANO - CHOCÓ
Municipal;BAJO BAUDÓ - CHOCÓ
Municipal;BALBOA - CAUCA
Municipal;BALBOA - RISARALDA
Municipal;BARANOA - ATLÁNTICO
Municipal;BARAYA - HUILA
Municipal;BARBACOAS - NARIÑO
Municipal;BARBOSA - ANTIOQUIA
Municipal;BARBOSA - SANTANDER
Municipal;BARICHARA - SANTANDER
Municipal;BARRANCA DE UPÍA - META
Municipal;BARRANCABERMEJA - SANTANDER
Municipal;BARRANCAS - LA GUAJIRA
Municipal;BARRANCO DE LOBA - BOLÍVAR
Municipal;BARRANCOMINAS - GUAINÍA
Municipal;BARRANQUILLA - ATLÁNTICO
Municipal;BECERRIL - CESAR
Municipal;BELALCÁZAR - CALDAS
Municipal;BELÉN - BOYACÁ
Municipal;BELÉN - NARIÑO
Municipal;BELÉN DE LOS ANDAQUÍES - CAQUETÁ
Municipal;BELÉN DE UMBRÍA - RISARALDA
Municipal;BELLO - ANTIOQUIA
Municipal;BELMIRA - ANTIOQUIA
Municipal;BELTRÁN - CUNDINAMARCA
Municipal;BERBEO - BOYACÁ
Municipal;BETANIA - ANTIOQUIA
Municipal;BETÉITIVA - BOYACÁ
Municipal;BETULIA - ANTIOQUIA
Municipal;BETULIA - SANTANDER
Municipal;BITUIMA - CUNDINAMARCA
Municipal;BOAVITA - BOYACÁ
Municipal;BOCHALEMA - NORTE DE SANTANDER
Municipal;BOGOTÁ, D.C. - BOGOTÁ D.C
Municipal;BOJACÁ - CUNDINAMARCA
Municipal;BOJAYÁ - CHOCÓ
Municipal;BOLÍVAR - CAUCA
Municipal;BOLÍVAR - SANTANDER
Municipal;BOLÍVAR - VALLE DEL CAUCA
Municipal;BOSCONIA - CESAR
Municipal;BOYACÁ - BOYACÁ
Municipal;BRICEÑO - ANTIOQUIA
Municipal;BRICEÑO - BOYACÁ
Municipal;BUCARAMANGA - SANTANDER
Municipal;BUCARASICA - NORTE DE SANTANDER
Municipal;BUENAVENTURA - VALLE DEL CAUCA
Municipal;BUENAVISTA - BOYACÁ
Municipal;BUENAVISTA - CÓRDOBA
Municipal;BUENAVISTA - QUINDIO
Municipal;BUENAVISTA - SUCRE
Municipal;BUENOS AIRES - CAUCA
Municipal;BUESACO - NARIÑO
Municipal;BUGALAGRANDE - VALLE DEL CAUCA
Municipal;BURITICÁ - ANTIOQUIA
Municipal;BUSBANZÁ - BOYACÁ
Municipal;CABRERA - CUNDINAMARCA
Municipal;CABRERA - SANTANDER
Municipal;CABUYARO - META
Municipal;CACAHUAL - GUAINÍA
Municipal;CÁCERES - ANTIOQUIA
Municipal;CACHIPAY - CUNDINAMARCA
Municipal;CÁCHIRA - NORTE DE SANTANDER
Municipal;CÁCOTA - NORTE DE SANTANDER
Municipal;CAICEDO - ANTIOQUIA
Municipal;CAICEDONIA - VALLE DEL CAUCA
Municipal;CAIMITO - SUCRE
Municipal;CAJAMARCA - TOLIMA
Municipal;CAJIBÍO - CAUCA
Municipal;CAJICÁ - CUNDINAMARCA
Municipal;CALAMAR - BOLÍVAR
Municipal;CALAMAR - GUAVIARE
Municipal;CALARCÁ - QUINDIO
Municipal;CALDAS - ANTIOQUIA
Municipal;CALDAS - BOYACÁ
Municipal;CALDONO - CAUCA
Municipal;CALIFORNIA - SANTANDER
Municipal;CALIMA - VALLE DEL CAUCA
Municipal;CALOTO - CAUCA
Municipal;CAMPAMENTO - ANTIOQUIA
Municipal;CAMPO DE LA CRUZ - ATLÁNTICO
Municipal;CAMPOALEGRE - HUILA
Municipal;CAMPOHERMOSO - BOYACÁ
Municipal;CANALETE - CÓRDOBA
Municipal;CAÑASGORDAS - ANTIOQUIA
Municipal;CANDELARIA - ATLÁNTICO
Municipal;CANDELARIA - VALLE DEL CAUCA
Municipal;CANTAGALLO - BOLÍVAR
Municipal;CAPARRAPÍ - CUNDINAMARCA
Municipal;CAPITANEJO - SANTANDER
Municipal;CÁQUEZA - CUNDINAMARCA
Municipal;CARACOLÍ - ANTIOQUIA
Municipal;CARAMANTA - ANTIOQUIA
Municipal;CARCASÍ - SANTANDER
Municipal;CAREPA - ANTIOQUIA
Municipal;CARMEN DE APICALÁ - TOLIMA
Municipal;CARMEN DE CARUPA - CUNDINAMARCA
Municipal;CARMEN DEL DARIÉN - CHOCÓ
Municipal;CAROLINA - ANTIOQUIA
Municipal;CARTAGENA DE INDIAS - BOLÍVAR
Municipal;CARTAGENA DEL CHAIRÁ - CAQUETÁ
Municipal;CARTAGO - VALLE DEL CAUCA
Municipal;CARURÚ - VAUPÉS
Municipal;CASABIANCA - TOLIMA
Municipal;CASTILLA LA NUEVA - META
Municipal;CAUCASIA - ANTIOQUIA
Municipal;CEPITÁ - SANTANDER
Municipal;CERETÉ - CÓRDOBA
Municipal;CERINZA - BOYACÁ
Municipal;CERRITO - SANTANDER
Municipal;CERRO DE SAN ANTONIO - MAGDALENA
Municipal;CÉRTEGUI - CHOCÓ
Municipal;CHACHAGÜÍ - NARIÑO
Municipal;CHAGUANÍ - CUNDINAMARCA
Municipal;CHALÁN - SUCRE
Municipal;CHÁMEZA - CASANARE
Municipal;CHAPARRAL - TOLIMA
Municipal;CHARALÁ - SANTANDER
Municipal;CHARTA - SANTANDER
Municipal;CHÍA - CUNDINAMARCA
Municipal;CHIGORODÓ - ANTIOQUIA
Municipal;CHIMÁ - CÓRDOBA
Municipal;CHIMA - SANTANDER
Municipal;CHIMICHAGUA - CESAR
Municipal;CHINÁCOTA - NORTE DE SANTANDER
Municipal;CHINAVITA - BOYACÁ
Municipal;CHINCHINÁ - CALDAS
Municipal;CHINÚ - CÓRDOBA
Municipal;CHIPAQUE - CUNDINAMARCA
Municipal;CHIPATÁ - SANTANDER
Municipal;CHIQUINQUIRÁ - BOYACÁ
Municipal;CHÍQUIZA - BOYACÁ
Municipal;CHIRIGUANÁ - CESAR
Municipal;CHISCAS - BOYACÁ
Municipal;CHITA - BOYACÁ
Municipal;CHITAGÁ - NORTE DE SANTANDER
Municipal;CHITARAQUE - BOYACÁ
Municipal;CHIVATÁ - BOYACÁ
Municipal;CHIVOLO - MAGDALENA
